milliseconds since epoch,weight grams float
1691685081483,-122.05999999999997
1691685081602,-122.05999999999997
1691685081695,-122.00999999999998
1691685081784,-121.98999999999997
1691685081905,-121.96999999999998
1691685081995,-121.95999999999998
1691685082055,-121.94999999999997
1691685082143,-121.93999999999998
1691685082263,-121.92
1691685082354,-121.90999999999998
1691685082473,-121.90999999999998
1691685082564,-121.89999999999999
1691685082683,-121.89999999999999
1691685082774,-121.89999999999999
1691685082893,-121.89
1691685082983,-121.89
1691685083074,-121.87999999999998
1691685083193,-121.87999999999998
1691685083285,-121.86999999999999
1691685083376,-121.86999999999999
1691685083464,-121.85
1691685083527,-121.85
1691685083650,-121.83
1691685083737,-121.83
1691685083826,-121.82000000000001
1691685083947,-121.82000000000001
1691685084038,-121.81000000000002
1691685084157,-121.81000000000002
1691685084246,-121.81000000000002
1691685084367,-121.81000000000002
1691685084457,-121.8
1691685084548,-121.8
1691685084667,-117.0
1691685084726,-97.08000000000001
1691685084817,-66.89
1691685084967,-3.3400000000000145
1691685085027,38.52999999999998
1691685085178,49.02999999999998
1691685085237,38.069999999999986
1691685085326,35.28999999999998
1691685085446,35.29999999999998
1691685085553,35.28999999999998
1691685085628,35.28999999999998
1691685085746,35.28999999999998
1691685085838,35.28999999999998
1691685085956,35.28999999999998
1691685086048,35.28999999999998
1691685086168,35.28999999999998
1691685086202,35.28999999999998
1691685086316,35.28999999999998
1691685086407,35.28999999999998
1691685086526,35.28999999999998
1691685086616,35.28999999999998
1691685086707,35.29999999999998
1691685086827,35.29999999999998
1691685086916,35.319999999999986
1691685087008,35.319999999999986
1691685087129,35.319999999999986
1691685087218,35.319999999999986
1691685087339,35.329999999999984
1691685087427,35.329999999999984
1691685087547,35.329999999999984
1691685087636,35.329999999999984
1691685087696,35.319999999999986
1691685087786,35.319999999999986
1691685087905,35.29999999999998
1691685087996,35.29999999999998
1691685088115,35.28999999999998
1691685088206,35.28999999999998
1691685088328,35.27999999999999
1691685088416,35.27999999999999
1691685088507,35.27999999999999
1691685088626,35.33999999999998
1691685088688,35.329999999999984
1691685088777,35.319999999999986
1691685088867,35.30999999999999
1691685088986,35.30999999999999
1691685089080,35.29999999999998
1691685089168,35.29999999999998
1691685089293,35.28999999999998
1691685089378,35.26999999999998
1691685089499,35.26999999999998
1691685089589,35.259999999999984
1691685089710,35.259999999999984
1691685089799,35.24999999999998
1691685089889,35.24999999999998
1691685090039,35.24999999999998
1691685090099,35.24999999999998
1691685090160,35.23999999999999
1691685090249,35.23999999999999
1691685090369,35.24999999999998
1691685090457,35.24999999999998
1691685090548,35.24999999999998
1691685090667,35.24999999999998
1691685090757,35.259999999999984
1691685090880,35.259999999999984
1691685090967,35.259999999999984
1691685091087,35.259999999999984
1691685091180,35.24999999999998
1691685091297,35.24999999999998
1691685091386,35.23999999999999
1691685091476,35.23999999999999
1691685091567,35.23999999999999
1691685091687,35.23999999999999
1691685091716,35.23999999999999
1691685091897,35.23999999999999
1691685091924,35.24999999999998
1691685092043,35.24999999999998
1691685092134,35.24999999999998
1691685092254,35.24999999999998
1691685092343,35.29999999999998
1691685092434,35.29999999999998
1691685092553,35.29999999999998
1691685092644,35.29999999999998
1691685092765,35.30999999999999
1691685092854,35.30999999999999
1691685092974,35.30999999999999
1691685093004,35.29999999999998
1691685093149,35.29999999999998
1691685093214,35.28999999999998
1691685093336,35.27999999999999
1691685093423,35.27999999999999
1691685093514,35.27999999999999
1691685093635,35.27999999999999
1691685093726,35.26999999999998
1691685093846,35.26999999999998
1691685093937,35.24999999999998
1691685094056,35.24999999999998
1691685094147,35.24999999999998
1691685094238,35.24999999999998
1691685094296,35.23999999999999
1691685094446,35.23999999999999
1691685094535,35.23999999999999
1691685094654,35.23999999999999
1691685094745,35.23999999999999
1691685094835,35.23999999999999
1691685094957,35.23999999999999
1691685094986,35.23999999999999
1691685095108,35.24999999999998
1691685095225,35.24999999999998
1691685095314,35.24999999999998
1691685095405,35.24999999999998
1691685095525,35.24999999999998
1691685095616,35.24999999999998
1691685095676,35.24999999999998
1691685095796,35.24999999999998
1691685095885,35.24999999999998
1691685096010,35.24999999999998
1691685096096,35.259999999999984
1691685096217,35.259999999999984
1691685096306,35.259999999999984
1691685096426,35.259999999999984
1691685096457,35.24999999999998
1691685096576,35.24999999999998
1691685096666,35.24999999999998
1691685096784,35.24999999999998
1691685096875,35.23999999999999
1691685096997,35.23999999999999
1691685097084,35.23999999999999
1691685097175,35.23999999999999
1691685097294,35.22999999999998
1691685097384,35.22999999999998
1691685097504,35.22999999999998
1691685097594,35.22999999999998
1691685097716,35.23999999999999
1691685097746,35.23999999999999
1691685097867,35.23999999999999
1691685097956,35.23999999999999
1691685098075,35.22999999999998
1691685098167,35.22999999999998
1691685098284,35.22999999999998
1691685098375,35.22999999999998
1691685098494,35.22999999999998
1691685098553,35.22999999999998
1691685098646,35.22999999999998
1691685098765,35.22999999999998
1691685098855,35.21999999999998
1691685098946,35.21999999999998
1691685099065,35.21999999999998
1691685099157,35.21999999999998
1691685099277,35.21999999999998
1691685099368,35.21999999999998
1691685099489,35.21999999999998
1691685099574,35.21999999999998
1691685099635,35.21999999999998
1691685099727,35.21999999999998
1691685099847,35.21999999999998
1691685099941,35.21999999999998
1691685100027,35.22999999999998
1691685100147,35.22999999999998
1691685100235,35.22999999999998
1691685100359,35.22999999999998
1691685100445,35.22999999999998
1691685100537,35.22999999999998
1691685100654,35.22999999999998
1691685100746,35.22999999999998
1691685100864,35.22999999999998
1691685100927,35.22999999999998
1691685101015,35.22999999999998
1691685101105,35.22999999999998
1691685101201,35.21999999999998
1691685101315,35.21999999999998
1691685101407,35.21999999999998
1691685101526,35.21999999999998
1691685101647,35.20999999999999
1691685101765,35.20999999999999
1691685101827,35.20999999999999
1691685101948,35.20999999999999
1691685102034,35.18999999999998
1691685102124,35.18999999999998
1691685102275,35.18999999999998
1691685102334,35.18999999999998
1691685102425,35.17999999999998
1691685102485,35.17999999999998
1691685102604,35.17999999999998
1691685102694,35.17999999999998
1691685102786,35.16999999999999
1691685102904,35.16999999999999
1691685102995,35.16999999999999
1691685103086,35.16999999999999
1691685103220,35.11999999999998
1691685103296,35.12999999999998
1691685103416,35.139999999999986
1691685103507,35.149999999999984
1691685103596,35.15999999999998
1691685103717,35.16999999999999
1691685103808,35.16999999999999
1691685103928,35.16999999999999
1691685104017,35.16999999999999
1691685104109,35.16999999999999
1691685104169,35.17999999999998
1691685104295,35.17999999999998
1691685104380,35.17999999999998
1691685104470,35.17999999999998
1691685104588,35.17999999999998
1691685104679,35.17999999999998
1691685104799,35.17999999999998
1691685104888,35.17999999999998
1691685104981,35.16999999999999
1691685105100,35.16999999999999
1691685105165,35.15999999999998
1691685105299,35.15999999999998
1691685105370,35.42999999999998
1691685105466,36.19999999999998
1691685105583,36.82999999999998
1691685105670,37.61999999999998
1691685105790,38.36999999999998
1691685105883,39.00999999999999
1691685106001,39.66999999999999
1691685106089,40.22999999999999
1691685106186,40.73999999999999
1691685106301,41.27999999999999
1691685106388,41.78999999999999
1691685106452,42.319999999999986
1691685106539,42.76999999999999
1691685106658,43.239999999999995
1691685106753,43.80999999999999
1691685106869,44.33999999999999
1691685106957,44.80999999999999
1691685107053,45.29999999999999
1691685107170,45.80999999999999
1691685107258,46.37999999999999
1691685107378,46.91999999999999
1691685107473,47.46999999999999
1691685107531,47.94999999999999
1691685107649,48.36999999999999
1691685107741,48.78999999999999
1691685107830,49.32999999999999
1691685107951,49.76999999999999
1691685108042,50.12999999999999
1691685108159,50.51999999999999
1691685108250,50.87999999999999
1691685108377,51.32999999999999
1691685108459,51.789999999999985
1691685108519,52.23999999999999
1691685108642,52.65999999999999
1691685108730,53.09999999999999
1691685108850,53.579999999999984
1691685108946,53.999999999999986
1691685109063,54.479999999999976
1691685109095,54.999999999999986
1691685109213,55.54999999999998
1691685109302,55.99999999999998
1691685109420,56.40999999999998
1691685109515,56.88999999999998
1691685109601,57.399999999999984
1691685109719,57.85999999999998
1691685109814,58.34999999999999
1691685109932,58.81999999999998
1691685110022,59.28999999999998
1691685110143,59.75999999999998
1691685110233,60.19999999999998
1691685110351,60.64999999999998
1691685110418,61.19999999999998
1691685110502,61.759999999999984
1691685110591,62.33999999999999
1691685110710,62.80999999999999
1691685110803,63.26
1691685110920,63.69999999999999
1691685111011,64.11999999999999
1691685111137,64.57000000000001
1691685111254,65.09
1691685111311,65.54000000000002
1691685111438,65.99000000000001
1691685111461,66.38000000000001
1691685111612,66.73
1691685111705,67.11000000000001
1691685111791,67.47000000000001
1691685111913,67.81
1691685112008,68.19000000000001
1691685112123,68.55000000000001
1691685112211,68.94000000000001
1691685112301,69.29000000000002
1691685112360,69.71000000000001
1691685112479,70.11
1691685112572,70.56000000000002
1691685112660,71.06000000000002
1691685112779,71.64000000000001
1691685112873,72.22000000000001
1691685112990,72.74000000000002
1691685113080,73.32000000000002
1691685113176,73.90000000000002
1691685113294,74.50000000000003
1691685113381,75.03000000000003
1691685113500,75.67000000000003
1691685113561,76.32000000000002
1691685113652,77.01000000000002
1691685113771,77.73000000000002
1691685113862,78.44000000000003
1691685113951,79.17000000000003
1691685114071,79.90000000000002
1691685114190,80.66000000000003
1691685114281,81.47000000000003
1691685114371,82.18000000000004
1691685114491,82.75000000000003
1691685114614,83.39000000000001
1691685114672,84.07000000000002
1691685114792,84.66000000000003
1691685114882,85.29000000000002
1691685114971,85.96000000000002
1691685115033,86.54000000000002
1691685115153,87.13000000000002
1691685115243,87.74000000000002
1691685115368,88.34000000000003
1691685115452,88.95000000000003
1691685115554,89.51000000000002
1691685115702,90.05000000000001
1691685115753,90.59000000000003
1691685115872,91.26000000000002
1691685115962,91.85000000000002
1691685116022,92.42000000000003
1691685116143,93.04000000000002
1691685116238,93.65000000000002
1691685116321,94.25000000000003
1691685116441,94.90000000000002
1691685116561,95.52000000000002
1691685116654,96.16000000000003
1691685116740,96.77000000000002
1691685116860,97.32000000000004
1691685116955,97.96000000000002
1691685117012,98.67000000000002
1691685117105,99.36000000000001
1691685117221,99.98000000000002
1691685117310,100.67000000000002
1691685117407,101.36000000000001
1691685117525,101.94000000000003
1691685117610,102.62000000000003
1691685117701,103.28000000000002
1691685117824,103.93
1691685117912,104.54
1691685118001,105.14000000000001
1691685118125,105.74000000000001
1691685118211,106.33000000000001
1691685118329,106.95
1691685118426,107.54
1691685118510,108.19000000000001
1691685118628,108.81
1691685118719,109.43
1691685118778,110.1
1691685118869,110.75000000000001
1691685118994,111.36000000000001
1691685119079,111.95
1691685119170,112.51
1691685119288,113.04
1691685119380,113.64
1691685119468,114.17
1691685119595,114.76000000000002
1691685119679,115.24000000000002
1691685119801,115.73000000000002
1691685119919,116.17000000000002
1691685120014,116.71000000000002
1691685120099,117.23000000000003
1691685120220,117.75000000000001
1691685120281,118.19000000000001
1691685120369,118.65000000000002
1691685120490,119.12000000000002
1691685120583,119.62000000000002
